Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
DNN_sh_AggClustering_nc:6_link:average_aff:l2,DNN_sh,Agg_Clustering,6,average,l2,0.2978461562327228
DNN_sh_AggClustering_nc:8_link:average_aff:l2,DNN_sh,Agg_Clustering,8,average,l2,0.28268123788820365
DNN_sh_AggClustering_nc:8_link:average_aff:l1,DNN_sh,Agg_Clustering,8,average,l1,0.2758678952660109
DNN_sh_AggClustering_nc:10_link:average_aff:l1,DNN_sh,Agg_Clustering,10,average,l1,0.2703094312812082
DNN_sh_AggClustering_nc:12_link:average_aff:l1,DNN_sh,Agg_Clustering,12,average,l1,0.2701544734399066
DNN_sh_AggClustering_nc:18_link:average_aff:l1,DNN_sh,Agg_Clustering,18,average,l1,0.2646674542522696
DNN_sh_AggClustering_nc:6_link:average_aff:l1,DNN_sh,Agg_Clustering,6,average,l1,0.26315129019022965
DNN_sh_AggClustering_nc:14_link:average_aff:l1,DNN_sh,Agg_Clustering,14,average,l1,0.2615814792643148
DNN_sh_AggClustering_nc:10_link:average_aff:cosine,DNN_sh,Agg_Clustering,10,average,cosine,0.2600283605091654
DNN_sh_AggClustering_nc:20_link:average_aff:l1,DNN_sh,Agg_Clustering,20,average,l1,0.2566572392036617
DNN_sh_AggClustering_nc:12_link:average_aff:cosine,DNN_sh,Agg_Clustering,12,average,cosine,0.2545801978146561
DNN_sh_AggClustering_nc:16_link:average_aff:cosine,DNN_sh,Agg_Clustering,16,average,cosine,0.2528553953449058
DNN_sh_AggClustering_nc:10_link:average_aff:l2,DNN_sh,Agg_Clustering,10,average,l2,0.249485606824162
DNN_sh_AggClustering_nc:14_link:average_aff:cosine,DNN_sh,Agg_Clustering,14,average,cosine,0.2494680193217495
DNN_sh_AggClustering_nc:6_link:complete_aff:cosine,DNN_sh,Agg_Clustering,6,complete,cosine,0.2427863499410141
DNN_sh_AggClustering_nc:16_link:average_aff:l1,DNN_sh,Agg_Clustering,16,average,l1,0.24145735201193774
DNN_sh_AggClustering_nc:18_link:average_aff:cosine,DNN_sh,Agg_Clustering,18,average,cosine,0.241380040771418
DNN_sh_AggClustering_nc:20_link:average_aff:cosine,DNN_sh,Agg_Clustering,20,average,cosine,0.2393640997637851
DNN_sh_AggClustering_nc:8_link:complete_aff:cosine,DNN_sh,Agg_Clustering,8,complete,cosine,0.2261366378910492
DNN_sh_AggClustering_nc:12_link:average_aff:l2,DNN_sh,Agg_Clustering,12,average,l2,0.2182512281907978
DNN_sh_AggClustering_nc:10_link:complete_aff:cosine,DNN_sh,Agg_Clustering,10,complete,cosine,0.21333649885715866
DNN_sh_AggClustering_nc:20_link:average_aff:l2,DNN_sh,Agg_Clustering,20,average,l2,0.2102868396825749
DNN_sh_AggClustering_nc:6_link:complete_aff:l1,DNN_sh,Agg_Clustering,6,complete,l1,0.20799198927433424
DNN_sh_AggClustering_nc:6_link:average_aff:cosine,DNN_sh,Agg_Clustering,6,average,cosine,0.2035871123131392
DNN_sh_AggClustering_nc:14_link:average_aff:l2,DNN_sh,Agg_Clustering,14,average,l2,0.20168066728526093
DNN_sh_AggClustering_nc:6_link:complete_aff:l2,DNN_sh,Agg_Clustering,6,complete,l2,0.1999830181750072
DNN_sh_AggClustering_nc:10_link:complete_aff:l2,DNN_sh,Agg_Clustering,10,complete,l2,0.19993903349045586
DNN_sh_AggClustering_nc:12_link:complete_aff:l2,DNN_sh,Agg_Clustering,12,complete,l2,0.19603740278993376
DNN_sh_AggClustering_nc:14_link:complete_aff:l2,DNN_sh,Agg_Clustering,14,complete,l2,0.1923231419948377
DNN_sh_AggClustering_nc:14_link:complete_aff:cosine,DNN_sh,Agg_Clustering,14,complete,cosine,0.18996670854285916
DNN_sh_AggClustering_nc:16_link:average_aff:l2,DNN_sh,Agg_Clustering,16,average,l2,0.18990606810716
DNN_sh_AggClustering_nc:16_link:complete_aff:cosine,DNN_sh,Agg_Clustering,16,complete,cosine,0.1896184954466199
DNN_sh_AggClustering_nc:8_link:complete_aff:l1,DNN_sh,Agg_Clustering,8,complete,l1,0.1887414669810756
DNN_sh_AggClustering_nc:18_link:average_aff:l2,DNN_sh,Agg_Clustering,18,average,l2,0.18670976398803166
DNN_sh_AggClustering_nc:8_link:complete_aff:l2,DNN_sh,Agg_Clustering,8,complete,l2,0.18662017307355225
DNN_sh_AggClustering_nc:10_link:complete_aff:l1,DNN_sh,Agg_Clustering,10,complete,l1,0.18397517525503596
DNN_sh_AggClustering_nc:18_link:complete_aff:cosine,DNN_sh,Agg_Clustering,18,complete,cosine,0.18389950348933606
DNN_sh_AggClustering_nc:16_link:complete_aff:l2,DNN_sh,Agg_Clustering,16,complete,l2,0.17945432767005615
DNN_sh_AggClustering_nc:20_link:complete_aff:cosine,DNN_sh,Agg_Clustering,20,complete,cosine,0.17817651326268466
DNN_sh_AggClustering_nc:12_link:complete_aff:cosine,DNN_sh,Agg_Clustering,12,complete,cosine,0.15964828648194618
DNN_sh_AggClustering_nc:18_link:complete_aff:l2,DNN_sh,Agg_Clustering,18,complete,l2,0.15859688269979186
DNN_sh_AggClustering_nc:14_link:complete_aff:l1,DNN_sh,Agg_Clustering,14,complete,l1,0.15462867459750396
DNN_sh_AggClustering_nc:8_link:average_aff:cosine,DNN_sh,Agg_Clustering,8,average,cosine,0.15324457503655833
DNN_sh_AggClustering_nc:16_link:complete_aff:l1,DNN_sh,Agg_Clustering,16,complete,l1,0.15066243638080873
DNN_sh_AggClustering_nc:18_link:complete_aff:l1,DNN_sh,Agg_Clustering,18,complete,l1,0.1382653658090195
DNN_sh_AggClustering_nc:12_link:complete_aff:l1,DNN_sh,Agg_Clustering,12,complete,l1,0.13822488998127874
DNN_sh_AggClustering_nc:20_link:complete_aff:l2,DNN_sh,Agg_Clustering,20,complete,l2,0.13158857541939867
DNN_sh_AggClustering_nc:20_link:complete_aff:l1,DNN_sh,Agg_Clustering,20,complete,l1,0.12904636177464768
DNN_sh_AggClustering_nc:6_link:single_aff:l1,DNN_sh,Agg_Clustering,6,single,l1,-0.03722572745320714
DNN_sh_AggClustering_nc:6_link:single_aff:l2,DNN_sh,Agg_Clustering,6,single,l2,-0.03722572745320714
DNN_sh_AggClustering_nc:8_link:single_aff:l2,DNN_sh,Agg_Clustering,8,single,l2,-0.0567332670686107
DNN_sh_AggClustering_nc:8_link:single_aff:l1,DNN_sh,Agg_Clustering,8,single,l1,-0.0567332670686107
DNN_sh_AggClustering_nc:10_link:single_aff:l1,DNN_sh,Agg_Clustering,10,single,l1,-0.06554542068894784
DNN_sh_AggClustering_nc:10_link:single_aff:l2,DNN_sh,Agg_Clustering,10,single,l2,-0.09277439265900668
DNN_sh_AggClustering_nc:12_link:single_aff:l2,DNN_sh,Agg_Clustering,12,single,l2,-0.12627857377850574
DNN_sh_AggClustering_nc:14_link:single_aff:l2,DNN_sh,Agg_Clustering,14,single,l2,-0.1571979067761573
DNN_sh_AggClustering_nc:16_link:single_aff:l1,DNN_sh,Agg_Clustering,16,single,l1,-0.17221602010506898
DNN_sh_AggClustering_nc:12_link:single_aff:l1,DNN_sh,Agg_Clustering,12,single,l1,-0.17236871257062558
DNN_sh_AggClustering_nc:16_link:single_aff:l2,DNN_sh,Agg_Clustering,16,single,l2,-0.19724032645242875
DNN_sh_AggClustering_nc:18_link:single_aff:l1,DNN_sh,Agg_Clustering,18,single,l1,-0.2131068720903155
DNN_sh_AggClustering_nc:18_link:single_aff:l2,DNN_sh,Agg_Clustering,18,single,l2,-0.2131068720903155
DNN_sh_AggClustering_nc:14_link:single_aff:l1,DNN_sh,Agg_Clustering,14,single,l1,-0.21707927285792736
DNN_sh_AggClustering_nc:20_link:single_aff:l1,DNN_sh,Agg_Clustering,20,single,l1,-0.21776650100220235
DNN_sh_AggClustering_nc:20_link:single_aff:l2,DNN_sh,Agg_Clustering,20,single,l2,-0.2467267676042268
DNN_sh_AggClustering_nc:6_link:single_aff:cosine,DNN_sh,Agg_Clustering,6,single,cosine,-0.28288792314204675
DNN_sh_AggClustering_nc:8_link:single_aff:cosine,DNN_sh,Agg_Clustering,8,single,cosine,-0.31042077422087244
DNN_sh_AggClustering_nc:10_link:single_aff:cosine,DNN_sh,Agg_Clustering,10,single,cosine,-0.32820622520594417
DNN_sh_AggClustering_nc:12_link:single_aff:cosine,DNN_sh,Agg_Clustering,12,single,cosine,-0.34500261147988115
DNN_sh_AggClustering_nc:14_link:single_aff:cosine,DNN_sh,Agg_Clustering,14,single,cosine,-0.3668111736613002
DNN_sh_AggClustering_nc:16_link:single_aff:cosine,DNN_sh,Agg_Clustering,16,single,cosine,-0.37409716896444056
DNN_sh_AggClustering_nc:18_link:single_aff:cosine,DNN_sh,Agg_Clustering,18,single,cosine,-0.37683581260712573
DNN_sh_AggClustering_nc:20_link:single_aff:cosine,DNN_sh,Agg_Clustering,20,single,cosine,-0.3832991099509776
